,0
1928,30079824
1929,30079316
1930,30079055
1931,30078941
1932,30078194
1933,30077663
1934,30077203
1935,30076779
1936,30076718
1937,30075193
1938,30075164
1939,30074500
1940,30074168
1941,30074108
1942,30073721
1943,30073645
1944,30072596
1945,30072447
1946,30071904
1947,30071860
1948,30071855
1949,30071656
1950,30071535
1951,30071525
1952,30071278
1953,30071254
1954,30071127
1955,30071075
1956,30070999
1957,30070890
1958,30070889
1959,30070887
1960,30070874
1961,30070863
1962,30070698
1963,30070430
1964,30070132
1965,30070120
1966,30070119
1967,30070039
1968,30069718
1969,30069617
1970,30069438
1971,30068894
1972,30068393
1973,30068362
1974,30068245
1975,30067966
1976,30066870
1977,30066723
1978,30066638
1979,30066362
1980,30066187
1981,30065654
1982,30064988
1983,30064879
1984,30064535
1985,30064525
1986,30064292
1987,30063917
1988,30063762
1989,30063435
1990,30063080
1991,30063037
1992,30062748
1993,30062572
1994,30062201
1995,30062200
1996,30062167
1997,30061916
1998,30061575
1999,30060746
2000,30060620
2001,30060618
2002,30060614
2003,30060507
2004,30060300
2005,30060148
2006,30059859
2007,30058859
2008,30058507
2009,30058496
2010,30058397
2011,30058212
2012,30057822
2013,30057806
2014,30057681
2015,30057677
2016,30057496
2017,30057115
2018,30056589
2019,30056455
2020,30056325
2021,30056103
2022,30055803
2023,30055774
2024,30055711
2025,30055710
2026,30055592
2027,30054579
2028,30054563
2029,30054537
2030,30054532
2031,30054493
2032,30053283
2033,30052516
2034,30052315
2035,30051959
2036,30051787
2037,30051772
2038,30050737
2039,30049949
2040,30049823
2041,30049822
2042,30048968
2043,30048723
2044,30047332
2045,30047243
2046,30046010
2047,30046001
2048,30045433
2049,30045431
2050,30045019
2051,30045004
2052,30044843
2053,30044214
2054,30044048
2055,30043820
2056,30043314
2057,30043179
2058,30043014
2059,30042922
2060,30042730
2061,30041699
2062,30041671
2063,30041488
2064,30041479
2065,30041446
2066,30041437
2067,30041171
2068,30040095
2069,30039436
2070,30037126
2071,30037112
2072,30037087
2073,30037019
2074,30036996
2075,30036679
2076,30036374
2077,30036193
2078,30035631
2079,30034656
2080,30034345
2081,30034246
2082,30033779
2083,30033659
2084,30033418
2085,30033356
2086,30033101
2087,30032989
2088,30032988
2089,30032952
2090,30032721
2091,30031858
2092,30031673
2093,30031501
2094,30031269
2095,30031229
2096,30031175
2097,30030684
2098,30030460
2099,30030373
2100,30029962
2101,30029734
2102,30028214
2103,30027366
2104,30027297
2105,30026784
2106,30026535
2107,30026488
2108,30026270
2109,30025860
2110,30024912
2111,30024775
2112,30022762
2113,30022469
2114,30022354
2115,30022159
2116,30022054
2117,30021938
2118,30021705
2119,30020966
2120,30019290
2121,30019168
2122,30019102
2123,30018820
2124,30018499
2125,30018405
2126,30018312
2127,30018277
2128,30018241
2129,30018076
2130,30017782
2131,30017743
2132,30017513
2133,30016962
2134,20301424
2135,30016681
2136,30016518
2137,30016512
2138,30016149
2139,30015296
2140,30015256
