,IdList
1053,30343042
1054,30342966
1055,30342783
1056,30342257
1057,30342191
1058,30342121
1059,30342099
1060,30342056
1061,30342053
1062,30342030
1063,30340815
1064,30340811
1065,30340810
1066,30340032
1067,30339765
1068,30339035
1069,30338665
1070,30338362
1071,30338120
1072,30338112
1073,30337343
1074,30337225
1075,30337186
1076,30336659
1077,30336644
1078,30336621
1079,30336615
1080,30336572
1081,30336180
1082,30336163
1083,30335859
1084,30335476
1085,30335410
1086,30335007
1087,30333974
1088,30333759
1089,30333131
1090,30328516
1091,30328245
1092,30328237
1093,30327570
1094,30327367
1095,30326897
1096,30326479
1097,30326244
1098,30325342
1099,30324108
1100,30323910
1101,30323806
1102,30323174
1103,30322575
1104,30322573
1105,30322196
1106,30322156
1107,30322012
1108,30321762
1109,30321750
1110,30321654
1111,30321202
1112,30321058
1113,30320911
1114,30320162
1115,30319853
1116,30319558
1117,30319539
1118,30319424
1119,30319420
1120,30319281
1121,30318987
1122,30318634
1123,30318250
1124,30318117
1125,30318102
1126,30318065
1127,30317879
1128,30317573
1129,30317568
1130,30317321
1131,30317122
1132,30316815
1133,30316166
1134,30315490
1135,30315472
1136,30315401
1137,30315171
1138,30314864
1139,30314697
1140,30314563
1141,30314313
1142,30311595
1143,30311288
1144,30309599
1145,30309268
1146,30309046
1147,30308579
1148,30308520
1149,30308480
1150,30308245
1151,30307295
1152,30307282
1153,30307161
1154,30307154
1155,30307152
1156,30307151
1157,30307150
1158,30306296
1159,30306016
1160,30305689
1161,30305645
1162,30305084
1163,30304842
1164,30304787
1165,30304679
1166,30304667
1167,30304638
1168,30303740
1169,30302474
1170,30302343
1171,30301967
1172,30301961
1173,30301822
1174,30301784
1175,30301681
1176,30301195
1177,30301151
1178,30300926
1179,30300837
1180,30300671
1181,30300654
1182,30300289
1183,30300140
1184,30300010
1185,30299436
1186,30299269
1187,30299245
1188,30298849
1189,30298647
1190,30297656
1191,30297199
1192,30297106
1193,30296820
1194,30296183
1195,30295852
1196,30295509
1197,30295213
1198,30294958
1199,30294763
1200,30294696
1201,30294278
1202,30293577
1203,30293335
1204,30292888
1205,30292638
1206,30292475
1207,30292428
1208,30292107
1209,30291862
1210,30291580
1211,30291284
1212,30291087
1213,30291068
1214,30290793
1215,30290722
1216,30290274
1217,30290217
1218,30290084
1219,30290076
1220,30290074
1221,30289587
1222,30289048
1223,30289019
1224,30288689
1225,30287733
1226,30287273
1227,30287240
1228,30287090
1229,30286918
1230,30286787
1231,30286723
1232,30286093
1233,30285685
1234,30285581
1235,30285324
1236,30285088
1237,30284135
1238,30284014
1239,30283914
1240,30283308
1241,30283251
1242,30283242
1243,30283077
1244,30282988
1245,30282904
1246,30282902
1247,30282899
1248,30282818
1249,30282516
1250,30281210
1251,30280996
1252,30280513
1253,30279683
1254,30279515
1255,30279329
1256,30279161
1257,30279096
1258,30277821
1259,30277729
1260,30277185
1261,30277147
1262,30276527
1263,30276508
1264,30275870
1265,30275865
